Reading,Receive,Value,Unit,Data Quality
2023-01-18 10:47:01,2023-01-18 10:47:04,21.75,in,A
2023-01-17 22:47:01,2023-01-17 22:47:04,21.75,in,A
2023-01-17 10:47:01,2023-01-17 10:47:05,21.75,in,A
2023-01-16 22:47:01,2023-01-16 22:47:05,21.75,in,A
2023-01-16 12:53:03,2023-01-16 12:53:34,21.75,in,A
2023-01-16 10:46:31,2023-01-16 10:46:34,21.71,in,A
2023-01-16 03:59:23,2023-01-16 03:59:34,21.71,in,A
2023-01-16 03:33:08,2023-01-16 03:33:34,21.67,in,A
2023-01-16 03:18:24,2023-01-16 03:18:34,21.63,in,A
2023-01-16 03:02:14,2023-01-16 03:02:34,21.59,in,A
2023-01-16 02:51:52,2023-01-16 02:52:04,21.55,in,A
2023-01-16 02:38:49,2023-01-16 02:39:04,21.51,in,A
2023-01-16 02:30:29,2023-01-16 02:30:34,21.47,in,A
2023-01-16 02:24:11,2023-01-16 02:24:34,21.43,in,A
2023-01-16 02:18:19,2023-01-16 02:18:34,21.39,in,A
2023-01-16 02:13:26,2023-01-16 02:13:34,21.35,in,A
2023-01-16 02:06:23,2023-01-16 02:06:34,21.31,in,A
2023-01-16 01:59:40,2023-01-16 02:00:04,21.28,in,A
2023-01-16 01:53:28,2023-01-16 01:53:34,21.24,in,A
2023-01-16 01:47:41,2023-01-16 01:48:04,21.20,in,A
2023-01-16 01:42:03,2023-01-16 01:42:34,21.16,in,A
2023-01-16 01:34:33,2023-01-16 01:35:04,21.12,in,A
2023-01-16 01:23:01,2023-01-16 01:23:34,21.08,in,A
2023-01-16 01:09:15,2023-01-16 01:09:34,21.04,in,A
2023-01-16 00:54:58,2023-01-16 00:55:04,21.00,in,A
2023-01-16 00:36:59,2023-01-16 00:37:04,20.96,in,A
2023-01-16 00:19:07,2023-01-16 00:19:34,20.92,in,A
2023-01-15 23:54:52,2023-01-15 23:55:05,20.88,in,A
2023-01-15 23:46:44,2023-01-15 23:47:04,20.84,in,A
2023-01-15 23:26:04,2023-01-15 23:26:34,20.80,in,A
2023-01-15 22:55:58,2023-01-15 22:56:04,20.76,in,A
2023-01-15 22:46:31,2023-01-15 22:46:34,20.72,in,A
2023-01-15 21:56:51,2023-01-15 21:57:04,20.72,in,A
2023-01-15 21:23:37,2023-01-15 21:24:04,20.68,in,A
2023-01-15 21:04:32,2023-01-15 21:05:04,20.64,in,A
2023-01-15 20:25:27,2023-01-15 20:25:34,20.61,in,A
2023-01-15 20:09:05,2023-01-15 20:09:34,20.57,in,A
2023-01-15 19:50:51,2023-01-15 19:51:04,20.53,in,A
2023-01-15 19:37:23,2023-01-15 19:37:34,20.49,in,A
2023-01-15 19:23:43,2023-01-15 19:24:04,20.45,in,A
2023-01-15 18:42:42,2023-01-15 18:43:04,20.41,in,A
2023-01-15 18:22:58,2023-01-15 18:23:04,20.37,in,A
2023-01-15 17:48:46,2023-01-15 17:49:04,20.33,in,A
2023-01-15 17:02:52,2023-01-15 17:03:04,20.29,in,A
2023-01-15 14:12:30,2023-01-15 14:12:34,20.25,in,A
2023-01-15 13:49:57,2023-01-15 13:50:04,20.21,in,A
2023-01-15 13:44:16,2023-01-15 13:44:34,20.17,in,A
2023-01-15 13:35:46,2023-01-15 13:36:04,20.13,in,A
2023-01-15 13:07:35,2023-01-15 13:08:04,20.09,in,A
2023-01-15 10:46:31,2023-01-15 10:46:34,20.05,in,A
2023-01-15 07:48:03,2023-01-15 07:48:34,20.05,in,A
2023-01-15 06:43:57,2023-01-15 06:44:04,20.01,in,A
2023-01-15 06:38:58,2023-01-15 06:39:04,19.98,in,A
2023-01-15 00:36:47,2023-01-15 00:37:05,19.94,in,A
2023-01-14 23:54:33,2023-01-14 23:55:05,19.90,in,A
2023-01-14 22:46:31,2023-01-14 22:46:35,19.86,in,A
2023-01-14 20:01:18,2023-01-14 20:01:35,19.86,in,A
2023-01-14 18:13:34,2023-01-14 18:14:04,19.82,in,A
2023-01-14 17:39:27,2023-01-14 17:39:35,19.78,in,A
2023-01-14 17:26:01,2023-01-14 17:26:35,19.74,in,A
2023-01-14 10:46:31,2023-01-14 10:46:35,19.70,in,A
2023-01-14 08:47:28,2023-01-14 08:47:34,19.70,in,A
2023-01-14 08:26:29,2023-01-14 08:26:34,19.66,in,A
2023-01-14 08:16:44,2023-01-14 08:17:04,19.62,in,A
2023-01-14 08:05:15,2023-01-14 08:05:34,19.58,in,A
2023-01-14 07:54:34,2023-01-14 07:55:04,19.54,in,A
2023-01-14 07:51:10,2023-01-14 07:51:34,19.50,in,A
2023-01-14 07:49:53,2023-01-14 07:50:04,19.46,in,A
2023-01-14 07:47:31,2023-01-14 07:48:04,19.42,in,A
2023-01-14 07:45:40,2023-01-14 07:46:04,19.38,in,A
2023-01-14 07:43:48,2023-01-14 07:44:04,19.34,in,A
2023-01-14 07:34:05,2023-01-14 07:34:34,19.31,in,A
2023-01-14 07:26:29,2023-01-14 07:26:34,19.27,in,A
2023-01-14 07:18:28,2023-01-14 07:18:34,19.23,in,A
2023-01-14 07:13:10,2023-01-14 07:13:34,19.19,in,A
2023-01-14 07:07:04,2023-01-14 07:07:34,19.15,in,A
2023-01-14 07:02:45,2023-01-14 07:03:04,19.11,in,A
2023-01-14 06:57:36,2023-01-14 06:58:04,19.07,in,A
2023-01-14 06:52:40,2023-01-14 06:53:04,19.03,in,A
2023-01-14 06:46:20,2023-01-14 06:46:34,18.99,in,A
2023-01-14 06:37:57,2023-01-14 06:38:04,18.95,in,A
2023-01-14 06:27:52,2023-01-14 06:28:04,18.91,in,A
2023-01-14 06:19:11,2023-01-14 06:19:34,18.87,in,A
2023-01-14 06:08:18,2023-01-14 06:08:34,18.83,in,A
2023-01-14 06:01:54,2023-01-14 06:02:04,18.79,in,A
2023-01-14 05:56:14,2023-01-14 05:56:34,18.75,in,A
2023-01-14 05:50:13,2023-01-14 05:50:34,18.71,in,A
2023-01-14 05:42:28,2023-01-14 05:42:34,18.68,in,A
2023-01-14 05:35:53,2023-01-14 05:36:04,18.64,in,A
2023-01-14 05:26:54,2023-01-14 05:27:04,18.60,in,A
2023-01-14 05:14:16,2023-01-14 05:14:34,18.56,in,A
2023-01-14 04:45:56,2023-01-14 04:48:35,18.52,in,A
2023-01-14 04:09:00,2023-01-14 04:09:04,18.44,in,A
2023-01-14 03:34:23,2023-01-14 03:34:34,18.40,in,A
2023-01-14 02:59:31,2023-01-14 03:00:04,18.36,in,A
2023-01-13 22:46:31,2023-01-13 22:46:35,18.32,in,A
2023-01-13 14:17:20,2023-01-13 14:17:34,18.32,in,A
2023-01-13 11:40:12,2023-01-13 11:40:34,18.28,in,A
2023-01-13 11:18:07,2023-01-13 11:18:34,18.24,in,A
2023-01-13 10:51:59,2023-01-13 10:52:04,18.20,in,A
2023-01-13 10:46:31,2023-01-13 10:46:35,18.16,in,A
2023-01-13 10:33:00,2023-01-13 10:33:04,18.16,in,A
2023-01-13 10:16:23,2023-01-13 10:16:34,18.12,in,A
2023-01-13 10:09:06,2023-01-13 10:09:34,18.08,in,A
2023-01-13 10:03:03,2023-01-13 10:03:34,18.04,in,A
2023-01-13 09:57:37,2023-01-13 09:58:04,18.01,in,A
2023-01-13 09:49:38,2023-01-13 09:50:04,17.97,in,A
2023-01-13 09:16:03,2023-01-13 09:16:34,17.93,in,A
2023-01-13 08:33:10,2023-01-13 08:33:34,17.89,in,A
2023-01-13 08:18:21,2023-01-13 08:18:34,17.85,in,A
2023-01-13 08:05:57,2023-01-13 08:06:04,17.81,in,A
2023-01-12 22:46:31,2023-01-12 22:46:35,17.77,in,A
2023-01-12 10:46:31,2023-01-12 10:46:34,17.77,in,A
2023-01-11 22:46:31,2023-01-11 22:46:34,17.77,in,A
