Reading,Receive,Value,Unit,Data Quality
2023-01-18 02:35:03,2023-01-18 02:35:40,59.69,in.,A
2023-01-17 14:35:03,2023-01-17 14:35:30,59.69,in.,A
2023-01-17 02:35:03,2023-01-17 02:35:18,59.69,in.,A
2023-01-16 19:11:32,2023-01-16 19:12:40,59.69,in.,A
2023-01-16 16:39:30,2023-01-16 16:40:40,59.65,in.,A
2023-01-16 14:35:03,2023-01-16 14:35:24,59.61,in.,A
2023-01-16 13:56:22,2023-01-16 13:57:40,59.61,in.,A
2023-01-16 13:11:38,2023-01-16 13:12:45,59.57,in.,A
2023-01-16 12:40:50,2023-01-16 12:41:35,59.53,in.,A
2023-01-16 12:06:02,2023-01-16 12:06:35,59.49,in.,A
2023-01-16 12:01:59,2023-01-16 12:02:45,59.45,in.,A
2023-01-16 10:58:05,2023-01-16 10:59:40,59.41,in.,A
2023-01-16 10:41:40,2023-01-16 10:42:30,59.37,in.,A
2023-01-16 10:37:57,2023-01-16 10:38:35,59.34,in.,A
2023-01-16 10:35:49,2023-01-16 10:36:24,59.30,in.,A
2023-01-16 09:05:00,2023-01-16 09:05:40,59.26,in.,A
2023-01-16 05:47:28,2023-01-16 05:48:35,59.22,in.,A
2023-01-16 05:20:29,2023-01-16 05:21:24,59.18,in.,A
2023-01-16 04:47:13,2023-01-16 04:48:30,59.14,in.,A
2023-01-16 04:35:23,2023-01-16 04:36:35,59.10,in.,A
2023-01-16 04:26:25,2023-01-16 04:27:24,59.06,in.,A
2023-01-16 04:17:30,2023-01-16 04:18:25,59.02,in.,A
2023-01-16 04:07:32,2023-01-16 04:08:24,58.98,in.,A
2023-01-16 03:25:56,2023-01-16 03:26:25,58.94,in.,A
2023-01-16 03:20:06,2023-01-16 03:21:30,58.90,in.,A
2023-01-16 03:15:37,2023-01-16 03:16:40,58.86,in.,A
2023-01-16 03:12:05,2023-01-16 03:13:30,58.82,in.,A
2023-01-16 03:09:00,2023-01-16 03:09:40,58.78,in.,A
2023-01-16 03:05:27,2023-01-16 03:06:40,58.74,in.,A
2023-01-16 03:01:03,2023-01-16 03:02:35,58.70,in.,A
2023-01-16 02:57:26,2023-01-16 02:58:45,58.67,in.,A
2023-01-16 02:54:06,2023-01-16 02:55:45,58.63,in.,A
2023-01-16 02:50:22,2023-01-16 02:51:35,58.59,in.,A
2023-01-16 02:46:35,2023-01-16 02:47:40,58.55,in.,A
2023-01-16 02:43:40,2023-01-16 02:44:30,58.51,in.,A
2023-01-16 02:40:31,2023-01-16 02:41:40,58.47,in.,A
2023-01-16 02:37:18,2023-01-16 02:38:40,58.43,in.,A
2023-01-16 02:34:05,2023-01-16 02:35:40,58.39,in.,A
2023-01-16 02:31:08,2023-01-16 02:32:35,58.35,in.,A
2023-01-16 02:27:38,2023-01-16 02:28:50,58.31,in.,A
2023-01-16 02:16:00,2023-01-16 02:16:40,58.27,in.,A
2023-01-16 02:07:15,2023-01-16 02:08:35,58.23,in.,A
2023-01-16 02:04:02,2023-01-16 02:04:35,58.19,in.,A
2023-01-16 01:52:15,2023-01-16 01:53:35,58.15,in.,A
2023-01-16 01:36:20,2023-01-16 01:37:30,58.11,in.,A
2023-01-16 01:28:44,2023-01-16 01:29:25,58.07,in.,A
2023-01-16 01:18:12,2023-01-16 01:19:35,58.04,in.,A
2023-01-16 01:13:54,2023-01-16 01:14:30,58.00,in.,A
2023-01-16 01:01:36,2023-01-16 01:02:45,57.96,in.,A
2023-01-16 00:59:04,2023-01-16 01:00:30,57.92,in.,A
2023-01-16 00:50:39,2023-01-16 00:51:30,57.88,in.,A
2023-01-16 00:47:35,2023-01-16 00:48:35,57.84,in.,A
2023-01-16 00:43:45,2023-01-16 00:44:40,57.80,in.,A
