Reading,Receive,Value,Unit,Data Quality
2023-01-18 11:56:57,2023-01-18 11:57:00,27.90,in,A
2023-01-17 23:56:57,2023-01-17 23:57:00,27.90,in,A
2023-01-17 11:56:57,2023-01-17 11:57:00,27.90,in,A
2023-01-16 23:56:57,2023-01-16 23:57:00,27.90,in,A
2023-01-16 11:56:57,2023-01-16 11:57:00,27.90,in,A
2023-01-16 06:04:08,2023-01-16 06:04:30,27.90,in,A
2023-01-16 05:47:06,2023-01-16 05:48:00,27.89,in,A
2023-01-16 05:42:26,2023-01-16 05:43:30,27.88,in,A
2023-01-16 05:34:35,2023-01-16 05:36:00,27.87,in,A
2023-01-16 05:25:39,2023-01-16 05:27:00,27.86,in,A
2023-01-16 05:18:55,2023-01-16 05:19:30,27.85,in,A
2023-01-16 05:15:55,2023-01-16 05:16:30,27.84,in,A
2023-01-16 05:04:50,2023-01-16 05:06:00,27.83,in,A
2023-01-16 04:59:04,2023-01-16 05:00:00,27.82,in,A
2023-01-16 04:53:55,2023-01-16 04:54:00,27.81,in,A
2023-01-16 04:46:40,2023-01-16 04:48:00,27.80,in,A
2023-01-16 04:38:24,2023-01-16 04:39:00,27.79,in,A
2023-01-16 04:35:16,2023-01-16 04:36:00,27.78,in,A
2023-01-16 04:33:25,2023-01-16 04:34:30,27.77,in,A
2023-01-16 04:31:49,2023-01-16 04:33:00,27.76,in,A
2023-01-16 04:25:31,2023-01-16 04:27:00,27.74,in,A
2023-01-16 04:17:05,2023-01-16 04:18:00,27.73,in,A
2023-01-16 04:03:08,2023-01-16 04:04:30,27.72,in,A
2023-01-16 03:57:38,2023-01-16 03:58:30,27.71,in,A
2023-01-16 03:49:09,2023-01-16 03:49:30,27.70,in,A
2023-01-16 03:43:08,2023-01-16 03:43:30,27.68,in,A
2023-01-16 03:40:57,2023-01-16 03:42:00,27.67,in,A
2023-01-16 03:38:18,2023-01-16 03:39:00,27.66,in,A
2023-01-16 03:00:04,2023-01-16 03:01:30,27.65,in,A
2023-01-16 02:51:56,2023-01-16 02:52:30,27.64,in,A
2023-01-16 02:15:57,2023-01-16 02:16:30,27.63,in,A
2023-01-16 01:45:15,2023-01-16 01:46:30,27.62,in,A
2023-01-16 00:02:02,2023-01-16 00:03:00,27.60,in,A
2023-01-15 23:56:57,2023-01-15 23:57:00,27.59,in,A
