Reading,Receive,Value,Unit,Data Quality
2023-01-18 00:44:12,2023-01-18 00:44:25,41.09,in,A
2023-01-17 12:44:10,2023-01-17 12:44:39,41.09,in,A
2023-01-16 20:16:58,2023-01-16 20:17:05,41.09,in,A
2023-01-16 17:26:01,2023-01-16 17:26:05,41.08,in,A
2023-01-16 15:12:52,2023-01-16 15:13:05,41.07,in,A
2023-01-16 12:44:09,2023-01-16 12:44:25,41.06,in,A
2023-01-16 06:05:26,2023-01-16 06:05:45,41.06,in,A
2023-01-16 06:02:34,2023-01-16 06:02:45,41.05,in,A
2023-01-16 05:59:55,2023-01-16 06:00:05,41.03,in,A
2023-01-16 05:55:59,2023-01-16 05:56:05,41.02,in,A
2023-01-16 05:38:53,2023-01-16 05:39:05,41.00,in,A
2023-01-16 05:33:35,2023-01-16 05:33:45,40.99,in,A
2023-01-16 05:28:02,2023-01-16 05:28:05,40.98,in,A
2023-01-16 05:23:53,2023-01-16 05:24:05,40.97,in,A
2023-01-16 05:17:47,2023-01-16 05:18:05,40.96,in,A
2023-01-16 05:12:28,2023-01-16 05:12:45,40.95,in,A
2023-01-16 05:08:41,2023-01-16 05:08:45,40.94,in,A
2023-01-16 05:03:11,2023-01-16 05:03:25,40.93,in,A
2023-01-16 04:53:09,2023-01-16 04:53:25,40.92,in,A
2023-01-16 04:49:32,2023-01-16 04:49:45,40.91,in,A
2023-01-16 04:44:52,2023-01-16 04:45:05,40.90,in,A
2023-01-16 04:42:30,2023-01-16 04:42:45,40.89,in,A
2023-01-16 04:40:07,2023-01-16 04:40:25,40.88,in,A
2023-01-16 03:59:26,2023-01-16 03:59:45,40.80,in,A
2023-01-16 03:56:20,2023-01-16 03:56:25,40.79,in,A
2023-01-16 03:45:40,2023-01-16 03:45:45,40.78,in,A
2023-01-16 03:41:32,2023-01-16 03:41:45,40.77,in,A
2023-01-16 03:39:38,2023-01-16 03:39:45,40.76,in,A
2023-01-16 03:37:55,2023-01-16 03:38:05,40.75,in,A
2023-01-16 03:25:34,2023-01-16 03:25:45,40.74,in,A
2023-01-16 03:14:50,2023-01-16 03:15:05,40.73,in,A
2023-01-16 03:00:08,2023-01-16 03:00:25,40.72,in,A
2023-01-16 02:53:49,2023-01-16 02:54:05,40.70,in,A
2023-01-16 02:49:20,2023-01-16 02:49:25,40.69,in,A
2023-01-16 02:23:00,2023-01-16 02:23:05,40.68,in,A
2023-01-16 02:14:51,2023-01-16 02:15:05,40.67,in,A
2023-01-16 01:51:57,2023-01-16 01:52:05,40.66,in,A
2023-01-16 01:21:59,2023-01-16 01:22:05,40.65,in,A
2023-01-16 01:10:01,2023-01-16 01:10:05,40.63,in,A
2023-01-16 01:07:12,2023-01-16 01:07:25,40.62,in,A
2023-01-16 00:51:51,2023-01-16 00:52:05,40.61,in,A
2023-01-16 00:44:08,2023-01-16 00:44:25,40.60,in,A
2023-01-16 00:42:46,2023-01-16 00:43:05,40.60,in,A
2023-01-16 00:38:18,2023-01-16 00:38:25,40.59,in,A
2023-01-16 00:34:35,2023-01-16 00:34:45,40.58,in,A
2023-01-16 00:17:51,2023-01-16 00:18:05,40.57,in,A
2023-01-16 00:13:35,2023-01-16 00:13:45,40.56,in,A
2023-01-16 00:11:07,2023-01-16 00:11:25,40.55,in,A
2023-01-15 23:54:55,2023-01-15 23:55:05,40.53,in,A
2023-01-15 23:45:04,2023-01-15 23:45:25,40.52,in,A
2023-01-15 23:40:50,2023-01-15 23:41:05,40.51,in,A
2023-01-15 23:37:21,2023-01-15 23:37:25,40.50,in,A
2023-01-15 23:28:48,2023-01-15 23:29:05,40.47,in,A
2023-01-15 23:22:56,2023-01-15 23:23:20,40.45,in,A
2023-01-15 23:19:17,2023-01-15 23:19:25,40.44,in,A
2023-01-15 23:11:24,2023-01-15 23:12:13,40.43,in,A
2023-01-15 23:04:54,2023-01-15 23:05:15,40.42,in,A
2023-01-15 23:00:15,2023-01-15 23:00:47,40.41,in,A
2023-01-15 22:56:00,2023-01-15 22:56:06,40.40,in,A
2023-01-15 22:48:02,2023-01-15 22:48:05,40.39,in,A
2023-01-15 22:41:47,2023-01-15 22:42:05,40.38,in,A
2023-01-15 22:28:19,2023-01-15 22:28:25,40.37,in,A
2023-01-15 22:19:19,2023-01-15 22:19:25,40.36,in,A
2023-01-15 22:14:00,2023-01-15 22:14:05,40.35,in,A
2023-01-15 22:06:36,2023-01-15 22:06:45,40.34,in,A
2023-01-15 21:52:57,2023-01-15 21:53:05,40.33,in,A
2023-01-15 21:39:32,2023-01-15 21:39:45,40.32,in,A
2023-01-15 21:27:52,2023-01-15 21:28:05,40.31,in,A
2023-01-15 21:11:52,2023-01-15 21:12:05,40.30,in,A
