Reading,Receive,Value,Unit,Data Quality
2023-01-18 02:06:35,2023-01-18 02:06:55,0.00,in.,A
2023-01-17 14:06:35,2023-01-17 14:07:15,0.00,in.,A
2023-01-17 09:42:14,2023-01-17 09:43:00,0.04,in.,A
2023-01-17 02:06:35,2023-01-17 02:06:55,0.00,in.,A
2023-01-16 14:06:35,2023-01-16 14:06:55,0.00,in.,A
2023-01-16 12:50:16,2023-01-16 12:50:54,0.04,in.,A
2023-01-16 11:06:03,2023-01-16 11:06:55,0.04,in.,A
2023-01-16 05:26:31,2023-01-16 05:27:00,0.04,in.,A
2023-01-16 04:50:15,2023-01-16 04:50:55,0.04,in.,A
2023-01-16 04:32:11,2023-01-16 04:32:55,0.04,in.,A
2023-01-16 04:19:30,2023-01-16 04:21:00,0.04,in.,A
2023-01-16 04:05:59,2023-01-16 04:06:50,0.04,in.,A
2023-01-16 03:53:57,2023-01-16 03:55:00,0.04,in.,A
2023-01-16 03:35:48,2023-01-16 03:37:00,0.04,in.,A
2023-01-16 03:21:12,2023-01-16 03:22:54,0.04,in.,A
2023-01-16 03:09:04,2023-01-16 03:11:00,0.04,in.,A
2023-01-16 03:03:14,2023-01-16 03:04:54,0.04,in.,A
2023-01-16 02:58:27,2023-01-16 02:59:00,0.04,in.,A
2023-01-16 02:55:47,2023-01-16 02:57:00,0.04,in.,A
2023-01-16 02:51:18,2023-01-16 02:52:54,0.04,in.,A
2023-01-16 02:48:28,2023-01-16 02:48:55,0.04,in.,A
2023-01-16 02:45:25,2023-01-16 02:46:55,0.04,in.,A
2023-01-16 02:43:18,2023-01-16 02:45:00,0.04,in.,A
2023-01-16 02:40:01,2023-01-16 02:40:55,0.04,in.,A
2023-01-16 02:36:54,2023-01-16 02:38:55,0.04,in.,A
2023-01-16 02:34:33,2023-01-16 02:34:55,0.04,in.,A
2023-01-16 02:32:31,2023-01-16 02:32:54,0.04,in.,A
2023-01-16 02:30:01,2023-01-16 02:31:05,0.04,in.,A
2023-01-16 02:26:49,2023-01-16 02:28:54,0.04,in.,A
2023-01-16 02:23:54,2023-01-16 02:24:54,0.04,in.,A
2023-01-16 02:21:35,2023-01-16 02:22:54,0.04,in.,A
2023-01-16 02:18:21,2023-01-16 02:19:00,0.04,in.,A
2023-01-16 02:16:02,2023-01-16 02:16:55,0.04,in.,A
2023-01-16 02:14:28,2023-01-16 02:14:54,0.04,in.,A
2023-01-16 02:13:10,2023-01-16 02:14:54,0.04,in.,A
2023-01-16 02:11:36,2023-01-16 02:12:55,0.04,in.,A
2023-01-16 02:09:29,2023-01-16 02:10:55,0.04,in.,A
2023-01-16 02:06:56,2023-01-16 02:08:54,0.04,in.,A
2023-01-16 02:06:35,2023-01-16 02:06:54,0.00,in.,A
2023-01-16 02:04:34,2023-01-16 02:04:54,0.04,in.,A
2023-01-16 01:59:49,2023-01-16 02:00:54,0.04,in.,A
2023-01-16 01:56:49,2023-01-16 01:58:45,0.04,in.,A
2023-01-16 01:54:05,2023-01-16 01:54:54,0.04,in.,A
2023-01-16 01:46:48,2023-01-16 01:48:54,0.04,in.,A
2023-01-16 01:44:05,2023-01-16 01:44:54,0.04,in.,A
2023-01-16 01:37:09,2023-01-16 01:39:00,0.04,in.,A
2023-01-16 01:30:49,2023-01-16 01:32:55,0.04,in.,A
2023-01-16 01:27:52,2023-01-16 01:29:00,0.04,in.,A
2023-01-16 01:20:15,2023-01-16 01:21:05,0.04,in.,A
2023-01-16 01:11:53,2023-01-16 01:13:00,0.04,in.,A
2023-01-16 00:59:36,2023-01-16 01:01:00,0.04,in.,A
