,Office,Report Time (Local WFO Timezone),Report Time (UTC Timezone),County,Location,ST,Event Type,Mag.,Source,Lat,Lon,Remark,ugc,ugcname,geometry,STATION,ID,ELEV,LATITUDE,LONGITUDE,COUNTY,OPERATOR AGENCY,dist
0,EKA,2022/12/26 20:09,2022/12/27 04:09,HUMBOLDT,3.5 N WILLOW CREEK,CA,DEBRIS FLOW,,LAW ENFORCEMENT,40.93,-123.67,"40.99217410682836, -123.63595113142186.",CAC023,Humboldt,POINT (-123.67 40.93),TRINITY RIVER AT HOOPA,HPA,330,41.04985,-123.673668,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN,0.119906116291038
1,EKA,2022/12/26 20:27,2022/12/27 04:27,HUMBOLDT,4 N HOOPA,CA,DEBRIS FLOW,,LAW ENFORCEMENT,41.11,-123.67,"41.11147610790019, -123.68487381238442.",CAC023,Humboldt,POINT (-123.67 41.11),TRINITY RIVER AT HOOPA,HPA,330,41.04985,-123.673668,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN,0.06026173515590181
2,EKA,2022/12/26 20:40,2022/12/27 04:40,DEL NORTE,7 ENE GASQUET,CA,DEBRIS FLOW,,LAW ENFORCEMENT,41.87,-123.84,MUD/DIRT/ROCK SLIDE ON 199 NEAR PATRICK CREEK.,CAC015,Del Norte,POINT (-123.84 41.87),OAK KNOLL,OKK,1940,41.833,-123.833,DEL NORTE,US Forest Service,0.03765634076752544
3,EKA,2022/12/26 21:30,2022/12/27 05:30,DEL NORTE,1 WSW GASQUET,CA,DEBRIS FLOW,,LAW ENFORCEMENT,41.84,-123.98,MUD/DIRT/ROCK SLIDE.,CAC015,Del Norte,POINT (-123.98 41.84),GASQUET RANGER STATION,GAS,384,41.845161,-123.965103,DEL NORTE,USGS/DWR-DFM-Hydro-SMN,0.015765675691199584
4,HNX,2022/12/27 09:00,2022/12/27 17:00,MARIPOSA,1 NNW YOSEMITE NAT'L PA,CA,DEBRIS FLOW,,PARK/FOREST SRVC,37.72,-119.68,*** 2 FATAL *** ROCK SLIDE NEAR THE INTERSECTION OF SR 140 AND BIG OAK FLAT ROAD IN YOSEMITE PARK KILLED TWO PEOPLE.,CAC043,Mariposa,POINT (-119.68 37.72),FORESTA,X05,4580,37.693943,-119.744499,MARIPOSA,CA Dept of Water Resources/Flood Management,0.0695635554726741
5,EKA,2022/12/27 09:00,2022/12/27 17:00,HUMBOLDT,1 NW RIO DELL,CA,DEBRIS FLOW,,LAW ENFORCEMENT,40.51,-124.12,BOULDERS IN ROADWAY AFTER RAIN. NEARBY RAIN TOTALS OF 2 INCHES.,CAC023,Humboldt,POINT (-124.12 40.51),HONEYDEW,HNY,370,40.237499,-124.132217,HUMBOLDT,USGS/DWR-DFM-Hydro-SMN,0.2727747240673133
6,SGX,2022/12/27 22:06,2022/12/28 06:06,SAN BERNARDINO,7 S BIG BEAR CITY,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.17,-116.83,CALTRANS REPORTS ROCKS IN BOTH LANES OF HIGHWAY 38.,CAC071,San Bernardino,POINT (-116.83 34.17),CONVERSE,CON,5618,34.194,-116.913002,SAN BERNARDINO,US Forest Service,0.0864021527741138
7,SGX,2022/12/27 22:06,2022/12/28 06:06,SAN BERNARDINO,7 S BIG BEAR CITY,CA,DEBRIS FLOW,,DEPT OF HIGHWAYS,34.17,-116.83,ROCKS REPORTED IN BOTH LANES OF HIGHWAY 38.,CAC071,San Bernardino,POINT (-116.83 34.17),CONVERSE,CON,5618,34.194,-116.913002,SAN BERNARDINO,US Forest Service,0.0864021527741138
8,STO,2022/12/30 12:00,2022/12/30 20:00,COLUSA,FOUTS SPRINGS,CA,DEBRIS FLOW,,PARK/FOREST SRVC,39.35,-122.67,"THE M10 ROAD ABOVE FOUTS CAMPGROUND REMAINS IMPASSIBLE DUE TO A DEBRIS FLOW COVERING THE ROAD WITH ROCKS, MUD AND WATER. WITH MORE RAIN IN THE FORECAST, THE ROAD IS EXPECTED TO REMAIN CLOSED UNTIL THERE IS A PERIOD OF DRY WEATHER.",CAC011,Colusa,POINT (-122.67 39.35),TROUGH SPRING,TRS,4000,39.296001,-122.653999,COLUSA,US Army Corps of Engineers,0.0563198366652513
9,STO,2022/12/30 15:00,2022/12/30 23:00,BUTTE,PULGA,CA,DEBRIS FLOW,,PUBLIC,39.8,-121.45,"ROCK SLIDE - SR 70, APPROXIMATELY 2 MILES WEST OF THE BUTTE/PLUMAS COUNTY LINE - ONE-WAY TRAFFIC CONTROL IS IN EFFECT DUE TO A ROCKSLIDE.",CAC007,Butte,POINT (-121.45 39.8),JARBO GAP,JAR,2700,39.736,-121.488998,BUTTE,CA Dept of Forestry and Fire Protection,0.07494560696931749
